Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Industrisveis AS,965799877,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,25.620,Bearbeiding av metaller,,,,
Stannum AS,924940379,,21,1520,Kommunalt eide aksjeselskaper mv.,,Tinn,,Aksjeselskap,35.130,Distribusjon av elektrisitet,,,,
Sterk entreprenør AS,928523292,,21,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Telerør elektro AS,928978192,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
J.m bygg montasje AS,924567260,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Pcp AS,919407077,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,
Frode svarstad-elverhøy AS,922846685,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Down town hagesenter AS,990666555,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.761,Butikkhandel med blomster og planter,,,,
Tele trans AS,987647736,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,49.410,Godstransport på vei,,,,
Kragerø sjøtjenester AS,997233379,,21,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,50.203,Slepebåter,,,,
Pizzanet AS,984746520,,21,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Storstøga AS,933500446,,21,2100,Private aksjeselskaper mv.,,Tokke,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Seljord rekneskaps-service AS,910861360,,21,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,69.201,Regnskap og bokføring,,,,
Tsg holdco AS,993034169,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Servie AS,861824152,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,71.200,Teknisk prøving og analyse,,,,
Nome kommune sentraladministrasjon,974643871,964963371,21,6500,Kommuneforvaltningen,,Nome,,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
"Tokke kommune plan, næring og kultur",974641135,964964521,21,6500,Kommuneforvaltningen,,Tokke,,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Helgen montessoriskolelag,994984608,,21,2100,Private aksjeselskaper mv.,,Nome,,Forening/lag/innretning,85.201,Ordinær grunnskoleundervisning,,,,
Sms omsorg AS,913358562,,21,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,88.991,Barneverntjenester,,,,
Ibsenhuset AS,932773619,,21,6500,Kommuneforvaltningen,,Skien,Skien,Aksjeselskap,90.040,Drift av lokaler tilknyttet kunstnerisk virksomhet,,,,
Duverden AS,990980896,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,93.291,Opplevelsesaktiviteter,,,,
Vest-telemark pukkverk AS,913936043,,20,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,08.120,"Utvinning fra grus- og sandtak, og utvinning av leire og kaolin",,,,
Moelven sør-tre AS,835259072,,20,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,16.100,"Saging, høvling og impregnering av tre",,,,
Skanem rjukan AS,976103238,,20,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,22.290,Produksjon av plastprodukter ellers,,,,
Renovest iks,980018725,,20,6500,Kommuneforvaltningen,,Kviteseid,,Interkommunalt selskap,38.110,Innsamling av ikke-farlig avfall,,,,
Modulservice AS,998210585,,20,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Tangen-bygg AS,992531762,,20,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Skanits AS,998544947,,20,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Grenland bilservice AS,919134062,,20,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",,,,
Glenn hellstrand AS,917570795,,20,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Mikkel handel AS,914816467,,20,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Rune digranes bøen AS,933457648,,20,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Strimp dagligvare AS,824281912,,20,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Jt-retail AS,921860382,,20,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Brødr berg stenindustri AS,970994092,,20,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.529,Butikkhandel med byggevarer ikke nevnt annet sted,,,,
Krinkel-kroken AS,998617677,,20,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.789,Butikkhandel ikke nevnt annet sted,,,,
Pedersen ole halvor,971323027,,20,8200,Personlig næringsdrivende,,Skien,,Enkeltpersonforetak,49.320,Drosjebiltransport,,,,
Grenland havn iks,970940510,,20,1510,Kommunale foretak med ubegrenset ansvar,,Porsgrunn,,Interkommunalt selskap,52.221,Drift av havne- og kaianlegg,,,,
Bluesky mondan,929034619,,20,8200,Personlig næringsdrivende,,Skien,,Enkeltpersonforetak,56.101,Drift av restauranter og kafeer,,,,
Koks brasserie AS,994565907,,20,2100,Private aksjeselskaper mv.,,Porsgrunn,Skien,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Kremen herkules AS,917471517,,20,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Lille ludvig AS,933371778,,20,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Herøya industripark AS,917673225,,20,1520,Kommunalt eide aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,68.320,Eiendomsforvaltning,,,,
Seljord veterinærkontor AS,895145432,,20,2100,Private aksjeselskaper mv.,,Seljord,Seljord,Aksjeselskap,75.000,Veterinærtjenester,,,,
Raulandsakademiet as norsk senter for folkekultur,946733105,,20,1520,Kommunalt eide aksjeselskaper mv.,,Vinje,Vinje,Aksjeselskap,85.599,Annen undervisning ikke nevnt annet sted,55.201,Drift av vandrerhjem,,
Hovettunet barnehage,971487984,,20,2100,Private aksjeselskaper mv.,,Porsgrunn,,Stiftelse,88.911,Barnehager,,,,
Idea barnehage kongsberg AS,925884979,,20,1520,Kommunalt eide aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,88.911,Barnehager,88.993,Arbeidstrening for ordinært arbeidsmarked,,
"Min barnehage, øyekast AS",919850329,,20,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.911,Barnehager,,,,
Høyt under taket Skien AS,927963116,,20,2100,Private aksjeselskaper mv.,,Skien,Larvik,Aksjeselskap,93.110,Drift av idrettsanlegg,,,,
System kjøkken AS,928836126,,19,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,31.020,Produksjon av kjøkkenmøbler,,,,
Miljøbriketter AS,928038246,,19,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,32.990,Annen industriproduksjon ikke nevnt annet sted,,,,
Flyteknisk Notodden AS,941727603,,19,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,33.160,Reparasjon og vedlikehold av luftfartøyer og romfartøyer,,,,
Redo biosolutions AS,984238126,,19,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,35.220,Distribusjon av gass gjennom ledningsnett,,,,
Notodden boligbyggelag,947158635,,19,2100,Private aksjeselskaper mv.,,Notodden,,Boligbyggelag,41.101,Boligbyggelag,,,,
Viking bygg AS,921003900,,19,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Kaasa maskin AS,936537960,,19,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,43.120,Grunnarbeid,,,,
Tinn bilsenter AS,834241412,,19,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,,,
Scushi AS,998761697,,19,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,45.402,"Detaljhandel med motorsykler, deler og utstyr",,,,
Brygga mat AS,979573391,,19,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Kr fjeld AS,911666286,,19,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Ulefoss dagligvare AS,915808492,,19,2100,Private aksjeselskaper mv.,,Nome,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Brua servicenter AS,989310070,,19,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Heddal bensinstasjon AS,885277322,,19,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Hovenga autosenter AS,918767525,,19,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Sport 1 glexe AS,996644200,,19,2100,Private aksjeselskaper mv.,,Midt-Telemark,Midt-Telemark,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Kiil-sandtangen AS,987652799,,19,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,47.642,Butikkhandel med fritidsbåter og -utstyr,,,,
Trend sko arkaden AS,945482184,,19,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,47.721,Butikkhandel med skotøy,,,,
Vinje taxi AS,925725005,,19,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,49.320,Drosjebiltransport,,,,
Langesund bad holding AS,888891242,,19,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Bø sportsbar AS,930797421,,19,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Gamle Skien AS,822285562,,19,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Kafé k AS,912086216,,19,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,56.210,Cateringvirksomhet,,,,
Fellestjenester sa,925089494,,19,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Samvirkeforetak,69.201,Regnskap og bokføring,,,,
Haugerud regnskapskontor AS,959861102,,19,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,69.201,Regnskap og bokføring,,,,
Frisørkjeden tango norge AS,981090241,,19,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,77.400,"Leasing av immateriell eiendom og lignende produkter, unntatt opphavsrettsbeskyttede verker",,,,
Tinn montessoriskole sa,995277727,,19,2100,Private aksjeselskaper mv.,,Tinn,,Samvirkeforetak,85.201,Ordinær grunnskoleundervisning,,,,
Skauen kristelige barnehage AS,925273120,,19,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,88.911,Barnehager,,,,
Vesletun barnehage,971490268,,19,2100,Private aksjeselskaper mv.,,Tinn,,Annen juridisk person,88.911,Barnehager,,,,
Herkules turn,975612821,,19,7000,Ideelle organisasjoner,,Skien,,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Nff Telemark,970158219,,19,7000,Ideelle organisasjoner,,Skien,,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Fritzøe skoger AS,928838188,,18,2100,Private aksjeselskaper mv.,,Siljan,,Aksjeselskap,02.200,Avvirkning,,,,
Ingebjørg almankås AS,956511534,,18,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,14.130,Produksjon av annet yttertøy,,,,
Thure trykk AS,984046162,,18,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,18.120,Trykking ellers,,,,
Keytouch technology AS,988717886,,18,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,27.120,Produksjon av elektriske fordelings- og kontrolltavler og paneler,,,,
Skagerak varme AS,989214888,,18,1120,Statlig eide aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,35.300,Damp- og varmtvannsforsyning,,,,
Bortech AS,964075522,,18,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,42.210,Bygging av vann- og kloakkanlegg,,,,
Telemark seaworx AS,818465572,,18,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,42.210,Bygging av vann- og kloakkanlegg,,,,
Totalriv AS,923829407,,18,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.110,Riving av bygninger og andre konstruksjoner,,,,
Groven og karlsen AS,988386421,,18,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,43.120,Grunnarbeid,,,,
"Mur, skifer & betong AS",925596191,,18,2100,Private aksjeselskaper mv.,,Kragerø,Kragerø,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Ole jonny madsen maskinentreprenør AS,922558337,,18,2100,Private aksjeselskaper mv.,,Porsgrunn,Bamble,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Profil montasje AS,992506660,,18,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Trescon AS,918943358,,18,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Cbp AS,976779975,,18,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,45.402,"Detaljhandel med motorsykler, deler og utstyr",,,,
Lidvard arvesen AS,979708440,,18,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,46.510,"Engroshandel med datamaskiner, tilleggsutstyr til datamaskiner samt programvare",,,,
Grunnvik landhandel AS,979263643,,18,2100,Private aksjeselskaper mv.,,Fyresdal,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Kirkebukta dagligvare AS,915786294,,18,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Sluppan dagligvare AS,975962482,,18,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Styrvold mat AS,921438834,,18,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Megaflis Bamble AS,928764265,,18,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.529,Butikkhandel med byggevarer ikke nevnt annet sted,,,,
Sport 1 Kragerø AS,983103545,,18,2100,Private aksjeselskaper mv.,,Kragerø,Kragerø,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Klara Telemark AS,913875354,,18,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.710,Butikkhandel med klær,,,,
Olsens enke Notodden AS,821996902,,18,2100,Private aksjeselskaper mv.,,Notodden,Sandnes,Aksjeselskap,47.761,Butikkhandel med blomster og planter,,,,
Ragna marie pedersen,986362339,,18,8200,Personlig næringsdrivende,,Skien,,Enkeltpersonforetak,49.320,Drosjebiltransport,,,,
Eyde bar & restaurant AS,915105165,,18,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Gulset grill og pizza AS,995697319,,18,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Hos gro AS,919198443,,18,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Zia foods,932999056,,18,8200,Personlig næringsdrivende,,Porsgrunn,,Enkeltpersonforetak,56.101,Drift av restauranter og kafeer,,,,
Dattebayo AS,914201055,,18,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,56.102,Drift av gatekjøkken,,,,
Dp greåker AS,926393421,,18,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,56.102,Drift av gatekjøkken,,,,
Fersk og ferdig selskapsmat AS,927189275,,18,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.210,Cateringvirksomhet,,,,
Europakaffe AS,921198256,,18,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.309,Drift av barer ellers,,,,
Cranemaster AS,961904900,,18,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Kelda dynamics AS,912550206,,18,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,74.101,"Industridesign, produktdesign og annen teknisk designvirksomhet",,,,
Prosecure AS,933303691,,18,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,80.100,Private vakttjenester,,,,
Sandøya montessoriskole,995197146,,18,2100,Private aksjeselskaper mv.,,Porsgrunn,,Forening/lag/innretning,85.201,Ordinær grunnskoleundervisning,,,,
Sauar friskole,977090547,,18,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Forening/lag/innretning,85.201,Ordinær grunnskoleundervisning,,,,
Seljord folkehøgskule,989005472,,18,2100,Private aksjeselskaper mv.,,Seljord,Seljord,Stiftelse,85.591,Folkehøgskoleundervisning,01.452,Geitehold,,
Grashoppa barnehage AS,997999231,,18,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,88.911,Barnehager,,,,
Troens liv barnehage AS,930531138,,18,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,88.911,Barnehager,,,,
Creer omsorg AS,924952326,,18,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,88.991,Barneverntjenester,,,,
Grenland topphåndballklubb,831325992,,18,7000,Ideelle organisasjoner,,Porsgrunn,Skien,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Skarphedin il,931674188,,18,7000,Ideelle organisasjoner,,Midt-Telemark,,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Midt-Telemark kyrkjelege fellesråd,922753318,,18,6500,Kommuneforvaltningen,,Midt-Telemark,,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Misjon uten grenser,971467134,,18,7000,Ideelle organisasjoner,,Porsgrunn,,Forening/lag/innretning,94.910,Religiøse organisasjoner,,,,
Tinn kirkelige fellesråd,876991632,,18,6500,Kommuneforvaltningen,,Tinn,Tinn,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Bryns blomster AS,971212659,,17,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,01.190,Dyrking av ettårige vekster ellers,,,,
Safe exit AS,994084291,,17,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,16.232,Produksjon av bygningsartikler,,,,
Nouryon pulp and performance chemicals norway AS,964102651,,17,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,20.130,Produksjon av andre uorganiske kjemikalier,,,,
Pors gjerdefabrikk AS,984155263,,17,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,25.110,Produksjon av metallkonstruksjoner og deler,,,,
Polar grenland AS,991026142,,17,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,25.620,Bearbeiding av metaller,,,,
Notodden renovasjon & gjenvinning AS,965455205,,17,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,38.110,Innsamling av ikke-farlig avfall,,,,
Irmat AS,984364458,,17,1520,Kommunalt eide aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,38.210,Behandling og disponering av ikke-farlig avfall,,,,
Stena confidential AS,924965126,,17,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,38.210,Behandling og disponering av ikke-farlig avfall,,,,
Byggmester lauritsen AS,980429970,,17,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Johan brekka entreprenørfirma AS,951067660,,17,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Halvorsli fjell og grunn AS,934355733,,17,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.120,Grunnarbeid,,,,
John kleveland AS,924536403,,17,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,43.120,Grunnarbeid,,,,
Maskin entreprenør roger nærum AS,889568232,,17,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.120,Grunnarbeid,,,,
Mtm anlegg AS,997977939,,17,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,43.120,Grunnarbeid,,,,
Norsk modul AS,918716505,,17,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Rune brekka AS,911673169,,17,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Sannidal auto AS,979367201,,17,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",,,,
Touch soft AS,995989786,,17,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,46.510,"Engroshandel med datamaskiner, tilleggsutstyr til datamaskiner samt programvare",,,,
Camp supply international AS,882722252,,17,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,46.694,"Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers",,,,
Butikkdrift langesund AS,915945260,,17,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Saulandtunet mat AS,985161593,,17,2100,Private aksjeselskaper mv.,,Hjartdal,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Kragerø lavpris AS,980598756,,17,2100,Private aksjeselskaper mv.,,Kragerø,Kragerø,Aksjeselskap,47.190,Butikkhandel med bredt vareutvalg ellers,,,,
Skeidar Skien AS,979489277,,17,2100,Private aksjeselskaper mv.,,Skien,Vestby,Aksjeselskap,47.591,Butikkhandel med møbler,,,,
Classique AS,963672233,,17,2100,Private aksjeselskaper mv.,,Kragerø,Kragerø,Aksjeselskap,47.710,Butikkhandel med klær,,,,
Telemark bilruter buss AS,980024504,,17,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,49.391,Rutebiltransport utenfor by- og forstadsområde,,,,
Brattrein hotell AS,984580029,,17,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Dalen hotelldrift AS,932934868,,17,2100,Private aksjeselskaper mv.,,Tokke,Tokke,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Husly kafé & catering AS,816549582,,17,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Midt-Telemark pizza AS,994115154,,17,2100,Private aksjeselskaper mv.,,Midt-Telemark,Kragerø,Aksjeselskap,56.102,Drift av gatekjøkken,,,,
Karjolen pub AS,991058265,,17,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,56.301,Drift av puber,,,,
Cemit digital AS,921891806,,17,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,62.010,Programmeringstjenester,,,,
Mestringshusene bolkesjø AS,915939376,,17,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,87.202,Omsorgsinstitusjoner for rusmiddelmisbrukere,86.909,Andre helsetjenester,,
Vest-tun barnehage AS,920014607,,17,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.911,Barnehager,,,,
Grenland familievernkontor,971323280,,17,7000,Ideelle organisasjoner,,Skien,,Stiftelse,88.992,Familieverntjenester,,,,
Down town bowling AS,961570867,,17,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,93.110,Drift av idrettsanlegg,,,,
Odds ballklubb kvinner,826201932,,17,7000,Ideelle organisasjoner,,Skien,Skien,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Trim grenland AS,997131576,,17,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,93.130,Treningssentre,,,,
Kragerø kirkelige fellesråd,976991443,,17,6500,Kommuneforvaltningen,,Kragerø,Kragerø,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Zåbra frisør AS,921888929,,17,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,96.020,Frisering og annen skjønnhetspleie,,,,
Seram coatings AS,914791189,,16,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,20.300,"Produksjon av maling og lakk, trykkfarger og tetningsmidler",,,,
Ulefoss skap AS,916482388,,16,2100,Private aksjeselskaper mv.,,Nome,,Aksjeselskap,29.200,Produksjon av karosserier og tilhengere,,,,
Jan stenersen transport AS,880574442,,16,2100,Private aksjeselskaper mv.,,Tinn,Tinn,Aksjeselskap,38.320,Sortering og bearbeiding av avfall for materialgjenvinning,,,,
Haukeli hytter og hus AS,925186937,,16,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Kragerøsnekkeren AS,912155277,,16,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Skrindebakke hus og hyttebygg AS,985415927,,16,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Hagen & sønn AS,960672739,,16,2100,Private aksjeselskaper mv.,,Hjartdal,Hjartdal,Aksjeselskap,43.120,Grunnarbeid,,,,
Rauland maskin AS,988416053,,16,2100,Private aksjeselskaper mv.,,Vinje,Vinje,Aksjeselskap,43.120,Grunnarbeid,,,,
